Original Name,Column_Prefix,Column_Suffix,New_Name_Formula,New_Name
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Portable video game player",plan_to_purchase,portable_game_console,plan_to_purchase_portable_game_console,plan_to_purchase_portable_game_console
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Computer network/router in your home for wireless computer/laptop usage",plan_to_purchase,router,plan_to_purchase_router,plan_to_purchase_router
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Desktop computer",plan_to_purchase,desktop,plan_to_purchase_desktop,plan_to_purchase_desktop
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Laptop computer",plan_to_purchase,laptop,plan_to_purchase_laptop,plan_to_purchase_laptop
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Tablet",plan_to_purchase,tablet,plan_to_purchase_tablet,plan_to_purchase_tablet
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Dedicated e-book reader",plan_to_purchase,e-reader,plan_to_purchase_e-reader,plan_to_purchase_e-reader
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Smartphone",plan_to_purchase,smartphone,plan_to_purchase_smartphone,plan_to_purchase_smartphone
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Basic mobile phone (not a smartphone)",plan_to_purchase,mobile_phone,plan_to_purchase_mobile_phone,plan_to_purchase_mobile_phone
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Smart watch",plan_to_purchase,smartwatch,plan_to_purchase_smartwatch,plan_to_purchase_smartwatch
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Fitness band",plan_to_purchase,fitness_band,plan_to_purchase_fitness_band,plan_to_purchase_fitness_band
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Virtual reality headset",plan_to_purchase,vr_headset,plan_to_purchase_vr_headset,plan_to_purchase_vr_headset
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Drone",plan_to_purchase,drone,plan_to_purchase_drone,plan_to_purchase_drone
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-None of the above",plan_to_purchase,none,plan_to_purchase_none,plan_to_purchase_none
"Q10 - Of those products you indicated you do not currently own, which of the following do you plan to purchase in the next 12 months?-Don't Know",plan_to_purchase,unknown,plan_to_purchase_unknown,plan_to_purchase_unknown
"Q11r1 - Flat panel television - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to rank. Th",rank_product,flat_panel_tv,rank_product_flat_panel_tv,rank_product_flat_panel_tv
"Q11r2 - Digital video recorder (DVR) - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to ra",rank_product,dvr,rank_product_dvr,rank_product_dvr
"Q11r3 - Streaming media box or over-the-top box - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selectio",rank_product,streaming_box,rank_product_streaming_box,rank_product_streaming_box
"Q11r4 - Portable streaming thumb drive/fob - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. M",rank_product,streaming_fob,rank_product_streaming_fob,rank_product_streaming_fob
"Q11rNew1 - Over-the-air digital TV antenna (for free access to network broadcast without pay TV subscription) - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most value",rank_product,tv_antenna,rank_product_tv_antenna,rank_product_tv_antenna
"Q11r5 - Blu-ray disc player/DVD player - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to",rank_product,bluray_dvd_player,rank_product_bluray_dvd_player,rank_product_bluray_dvd_player
"Q11r6 - Gaming console - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish",rank_product,gaming_console,rank_product_gaming_console,rank_product_gaming_console
"Q11r7 - Portable video game player - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each",rank_product,portable_game_console,rank_product_portable_game_console,rank_product_portable_game_console
"Q11r8 - Computer network/router in your home for wireless computer/laptop usage - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most va",rank_product,router,rank_product_router,rank_product_router
"Q11r9 - Desktop computer - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to rank. The fir",rank_product,desktop,rank_product_desktop,rank_product_desktop
"Q11r10 - Laptop computer - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you wish to rank. The fir",rank_product,laptop,rank_product_laptop,rank_product_laptop
"Q11r12 - Tablet - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the orde",rank_product,tablet,rank_product_tablet,rank_product_tablet
"Q11r14 - Dedicated e-book reader - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in",rank_product,e-reader,rank_product_e-reader,rank_product_e-reader
"Q11r15 - Smartphone - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in th",rank_product,smartphone,rank_product_smartphone,rank_product_smartphone
"Q11r17 - Basic mobile phone (not a smartphone) - Of the products you indicated you own, which [totalcount] do you value the most? Please rank the top [totalcount], with ""1"" being the most valued. Make your selections by clicking each item in the order you",rank_product,mobile_phone,rank_product_mobile_phone,rank_product_mobile_phone
